City,Latitude,Longitude,Total_Structures_100m,Total_1890s,Total_1900s,Total_1910s,Total_1920s,Total_1930s,Total_1940s,Total_1950s,Total_1960s,Total_1970s,Total_1980s,Total_1990s,Total_2000s,Total_2010s
New York City,40.68295,-73.9708,878,3,13,26,79,141,154,183,258,388,536,597,712,878
Chicago,41.87897,-87.66063,327,0,0,0,23,30,30,32,68,122,175,204,270,327
Miami,25.766368,-80.210268,116,0,0,0,1,1,1,1,2,7,19,23,76,116
Houston,29.784753,-95.361416,102,0,0,0,2,2,2,3,10,27,60,62,80,102
Los Angeles,34.05513,-118.25703,74,0,0,0,1,1,1,1,11,26,45,57,59,74
San Francisco,37.778008,-122.431272,94,0,0,0,5,5,5,6,17,38,62,65,78,94
Seattle,47.673455,-122.331537,59,0,0,1,1,1,1,1,3,9,27,28,37,59
Boston,42.355492,-71.048611,48,0,0,1,1,3,5,5,8,22,33,35,42,48
Dallas,32.736212,-96.784359,46,0,0,0,2,2,3,8,12,17,35,36,40,46
Atlanta,33.769805,-84.414581,71,0,0,0,1,1,1,1,9,19,33,42,64,71
Las Vegas,36.190364,-115.279104,54,0,0,0,0,0,0,0,2,4,8,19,49,54
Philadelphia,39.990821,-75.168428,57,0,1,1,6,11,11,12,14,26,35,40,48,57
Toronto,43.64877,-79.38171,267,0,0,0,1,2,2,3,9,39,54,71,124,267
Montreal,45.572744,-73.586295,47,0,0,0,1,2,2,2,13,20,27,31,34,47
Calgary,51.056508,-114.033822,66,0,0,0,0,0,0,0,2,14,38,39,48,66
Mexico City,19.371422,-99.150344,69,0,0,0,0,0,0,2,4,7,13,21,42,69
